Indonesia,Madura
alat untuk memarut ketela.,"masat memarut ketela, sat-pasat"
pasrah kepada Tuhan yang Maha Kuasa,pasra ḍâ' ghustè Alla sè Maa Kobâsa
jangan mudah memastikan,jhâ' ghâmpang mastèaghi
terus terang jelaskan agar supaya ada kepastia,rang-terrangan jharbâaghi ma'lè bâḍâ kapastèan
kira-kira hampir siang,pata para' sèyang
hampir tengah malam.,pata tengnga malem
memindahkan bunga mawar.,matar kembhâng mabâr
hidup bertetangga semestinya saling menghargai.,oḍi' atatangghâ mostèna patang ngarghâi
pekerjaan yang memang benar-benar ditekuni.,"tèn-patèn ambhâ' parè "
tidak begitu masak,lo' patè massa'
tidak begitu merah,lo' patè mèra
tidak begitu melihat,ta' patè ngatèla'
tidak terlalu berasa.,ta' patè arassa
kuah dengan ikan pindang yang berbumbu kental bersanta,pènḍhâng kella patè
dikatakan terhadap orang yang malu karena diketahui sedang melakukan kejahatan,"patè' temmo è tètè "
ikut atau turut kebiasaan arang lain,naro' patona arèng
ronda keliling kampung.,pattrol kalèlèng kampong
dibagi menjadi tiga bagian,èpecca dhâddhi tello'
dikatakan kepada orang yang mondar-mandir sibuk melakukan pekerjaa,"apèddhel mara kèkèyan , apèddhel mara kemèrè konyeran "
makan rujak sangat pedas karena terlalu banyak lomboknya.,ngakan rojhâk cè' peḍḍhessâ polana cabbhina bânnya' ghâllu
kakiku luka sangat perih karena tersiram air.,tang soko loka cè' peddhina polana èkennèng sèram aèng
menembak tupai di kebu,meḍḍhil ebbhu'è kebbhun
cabai rawit meski kecil sangat pedas.,cabbhi lètè' makko kènè' peḍḍhis ongghu
ban sepedanya bocor tertusuk paku yang besar.,ban sapèḍana peḍḍhul tacoco' pako rajâ
nelayan menangkap ikan menggunakan jaring,orèng majâng mèghâ' jhuko' ngangghuy jhâring
mengerjakan sesuatu hendaknya menyiapkan rencana yang matang agar tidak ada akibat yang merugikan,"mèghâ' jhuko' ta' lekko "
tanpa bersusah payah sesuatu yang diinginkan cepat diperoleh,"mèghâ' â jhuko' ta' buḍḍhâgghâ cellot "
bunga mawar sudah mulai mekar.,kembhâng mawar ella molaè mekkar
kalau dipiki-r dengan sungguh-sungguh,mon èpèkkèr bi' ongghu
tangannya diikat dengan tali,tanangnga èpèkot bi' talè
setiap hari banyak orang pergi ke pelabuhan kamal.,sabbhân arè bânnya' orèng sè èntar ka pelabbhuân kamal
pintar bermain sepak bola,pèlak amaèn tembhung
pintar berenang disungai.,pèlak ngoy-langngoyan è songay
semoga dipastikan bahwa memang dirimulah pilihan hatiku,malar moghâ èpastèaghi jhâ' dhika lakar pèlèan atè bulâ
orang Cina bermata sipit.,Cèna arnata pèlè'
kalau nakal nanti dijewer telinganya.,mon tambeng ḍâgghi' èpèles kopengnga
melipat lengan baju.,melkot lengngenna kalambhi
menciduk air bersih dan bening diwadahi gentong kecil.,nyello' aèng bhersè tor bhennèng èbâḍghâi peltèng
adiknya yang sakit sudah agak sembuh.,alè' sè sakè' ella pèndhânan
di tepi pantai,è pèngghir sèrèng
menyingsing lengan baju.,mèngkès lengngenna kalambhi
air yang baru saja diambil dari sumur ditaruh di tempayan,aèng sè ghi' bhuru èkala' ḍâri somor èsabâ' èpennay
"tempayannya jatuh retak, keranjangnya berukir-ukir, sayang terlanjur kenal, selamanya menjadi pikira","pennayya ghâgghâr tennar, karanjhângnga kèr-okèran, èmanna ajhâr kennal salanjhângnga kèr-pèkkèran "
selagi masih muda belajarlah yang rajin supaya kelak menjadi orang yang pintar.,mompong ghi' ngoḍâ pabhâjheng sè ajhâr ma'lè ghu'-agghu' d.hâddhi orèng pènter
anugerah yang diberikan oleh Allah.,peparèng gâri Alla
sungguh gembira hatiku bermandikan sinar rembulan,"pèrak ongghu atè bulâ, apanḍi sonarra bulân"
luka dibetisnya dibalut dengan perba,loka èbettèssâ èperbanè
masih belum percaya,ghi' ta' percajâ
yang paling dipercayai,sè palèng èkapercajânè a.
"yang menunggu percuma, terlanjur lama yang mengharapkannya.","sè aḍântè' percoma, karè abit sè ngarepaghi"
kertasnya diremas lalu dibuang ke keranjang,dhâlubângnga èperkes pas èbuwâng ḍâ' karanjhâng
krupuk yang melempen diremas-remas sampai hancur.,krupu' sè kalmet èkes-perkes dhâghâ lessa
saya tidak betah lama berdiam di tempat yang ramai-ramai.,sèngko' ta' pema abit neng-enneng èmèn-rammèn
"indah nian pesisir Madura, kelihatan dari jauh layar putih bertebara","pema ongghu pasèsèr Madhurâ, kaoladhân gâri jhâu lajâr nyarao' ngapotè"
meneteskan mata dengan air yang sudah dicampur dengan bunga mawar.,èperraè aèng mabâr
suaranya menjadi parau karena terlalu banyak berteriak.,sowarana perrat amarghà bânnya' ghâllu atowat
"juga bambu, namun pendek-pendek, juga orang namun berparas jelek.","perrèng kèya, kèng ḍâ'pènḍâ' , orèng kèya kèng bâ'-jhubâ' "
"sangat disayangkan berpisah denganmu, walaupun dengan keterpaksaan hati.","èman ongghu sè apèsaa so dhika, sanajjhân kepaksa atè"
"oh aku takkan melupakan senyumannya, tidak ada yang lain, hanya dirimu yang selaiu·ada di hati.","ḍu bulâ ta' kèra loppa marghâ pèsemma, taḍâ' sè laèn, coma dhika sè bâḍâ è atè"
minum air ledeng yang sudah dimasak.,ngènom aèng pèt sè marè èmassa'
mengambil telur ayam di petarangan,ngala' tellorra ajâm è petarangan
meskipun sesaudara tidak akan sama watak dan tabiat diantara yang satu dengan saudaranya yang lai,"tellor sapefarangan ta' kèra paḍâ kabbhi "
menemukan uang dan emas berpeti-peti.,nemmo pèssè bân emmas aṭè-peṭṭè
baru saja dipetik,"ghi' bhuru èpeṭṭèk "
memetik bunga melati yang masih belum mekar,meṭṭèk kembhâng malatè sè ghi' ta' mekkar
anak ayam yang baru menetas itu mencicit-cicit.,pètè' sè ghi' bhuru teḍḍhâs rowa yok-pèyoghân
jenis beras ketan yang kulitnya berbulu berwarna cerah,plotan bilâ mambhâng
"jenis beras ketan yang kulitnya berbulu, butir padinya berwarna merah tua",plotan manès mata
titik terjauh di timur sampai pohon kelapa.,pocak tèmor ghân bhungkana nyèyor
anak yang penakut itu sangat pucat wajahnya setelah dimarahi oleh gurunya,"kana' sè tako'an rowa robâna cè' poceddhâ, polana marè èghighiri ghuruna"
putik buah mangga berguguran setelah hujan deras tadi malam.,pocèddhâ pao arontoan samarèna ojhân dherres malemma
sekarang banyak hutan ditebangi pepohonannya sampai tidak bersisa,satèya bânnya' alas sè èpogherri ka'-bhungkaanna dhâghâ ta' akarè
menebang kayu jati yang sudah mati menggunakan gergaji mesi,mogher kaju jhâtè sè ella matè ngangghuy gârghâjhi messin
memuji syukur ke~adirat Allah,mojhi sokkor ka ajunan Alla
pujianku untukmu jangan ragukan lagi.,pamojbi bulâ ka dhika pon jhâ' kamangmang polè
jam tujuh lewat lima belas menit.,polo pètto' lèbât lèma bellâs mennèt
barangkali kamu masih belum percaya,la-pola bâ'na ghi' ta' parcajâ
anaknya yang kecil menangis terus barangkali belum diberi susu.,ana'na sè kènè' nangès malolo la-pola ghi' ta' èsosoè
jatuh karena licin,labu polana lècèn
adiknya menangis karena minta dlbelikan jaja,alè'na nangès polana mènta mellè jhâjhân
tidak lama lagi pasti pulang.,ta' abit polè pastè molè
dikatakan kepada orang yang bentuk tubuhnya kecil tetapi ternyata kuat,"lo'-moto'a kènè' orèngnga cè' kellarra "
berkumpul untuk berembukan,apolong kaangghuy abhâk-rembhâk
"senyampang belum dimulai, segera jemput temanmu.","pompang ghi' ta' èmalaè, dhuli sosol kancana"
sudah jangan diambil.,pan jhâ' kala'
aku tidak bisa memungkiri bahwa aku mencintaimu.,bulâ ta' bisa mongkèrè atè jhâ' bulâ tarèsna ka dhika
lima bulan yang lalu.,lèma bulân sè tapongkor
gelisah hatiku memikirkan dirimu.,posang atè bulâ mèkkèrè dhika
"bunga melati, cempaka, kenanga memenuhi halaman rumah","kembhâng malatè, cempaka , kananga massa'è palataran"
kolamnya dipenuhi air.,kolamma èpossa'è aèng
berwarna putih tulang,abâma potè tolang
ayam berbulu putih polos,ajâm abulu potè molos
"dikatakan kepada orang yang kelihatannya alim, tapi sebenarnya berhati jahat","akanṭa potèna tellor "
"dikatakan kepada orang yang mempunyai kekuasaan, segala keinginannya pasti terwujud karena segalanya bisa diukur dengan uang, uang adalah segala-galanya.","mapotèa ḍângḍâng potè, macellengnga dhâlko' celleng "
memetik bunga mawar,moṭèk kembhâng mabâr
jambu yang sudah masak cepat dipetik agar tidak dimakan kelelawar.,jhâmbhu sè ella massa' dhuli potèk ma' lè ta' èkakan bhâbbhuru
mematahkan ranting-ranting yang keras.,motel ca'-ranca' sè gherrâ
orang sepuh itu banyak mempunyai anak cucu.,orèng seppo rowa bânnya'na' potona
"mengusung piring ke dalam lumbung, hendak mengambil malan dengan gula, putusnya bambu bisa disambung, putus pikulan hilang sanak keluarga.","ngosong pèrèng ka ḍâlem lombhung, ngala' malan bhâreng so ghulâ, potong perrèng èkennèng sambhung, potong pèkolan èlang sana' bhâlâ "
mempunyai anak perempuan,"ghâḍhuân pottra binè' , anḍhi' ana' binè' "
"putra putri Madura, mari semuanya untuk bersama-sama dengan sungguh-sungguh mencintai adat Madura yang sudah lama tidak di gali.","pottra pottrè Madhurâ, torè sadhâjâna paḍâ areng-sareng tarongghu tarèsna adhât madhurâ sè ampon abit ta' èsarbi"
berhati-hatilah akan tingkah lakumu.,bi' prajhâtna dhika pratèngkana
"bermaksud ingin menjadi oang yang berpengaruh, namun tidak berdaya karena tidak mempunyai kekuatan sama sekali.","mara prao tapèpèt "
membeli gula seperempat kilo,mellè ghulâ saprapat kilo
mendapat bagian hanya seperempat.,ollè bâgiân kèng coma saprapat
punya anak laki-laki sangat telate,anḍi' ana' lakè' cè' pratènna
orang Cina kulitnya sangat putih-putih.,orèng Cèna kolè'na ti-puti
ya Allah ya Tuhanku.,yâ Allah yâ Rabbi
baru saja datang.,ghi' bhuru rabu
bercepuk-cepuk di ombak yang dangkal.,acak-kècak è ombâ' sè ca-raca
ruji sepedanya berkarat karena tidak dibersihka,raca' sapèḍana nayyèn polana ta' èghessot
mengenakan pakaian yang tembus pandang.,ngangghuy kalambhi ngaraḍâng
sampai besemangat untuk memperoleh bagia,dhâghâ adhâ' raddhâ'sè terro ollèa bàgiân
anak gadis itu sangat cantik sekali,parabân rowa cè' raddhinna
"dikatakan kepada orang yang suka sesumbar, namun tidak pernah terbukti akan ucapannya","rajâ ghâluḍhugghâ ta' kèra rajâ ojhânna "
sembahyang subuh dua rakaat.,abhâjâng sobbhu ḍuwâ' rakaat
jodoh dan mati ada yang mengatur.,jhuḍhu bân patè bâḍâ sè ngeraksa
jangan ramai-ramai banyak orang sedang tidur.,jhâ' mè-rammè bânnya' orèng tèḍung
"sempana keberkatan dengan anak cucu dalam kemakmuran, kesejahteraan sampai hari tua","rampa' naong bâringèn korong adhungket roman "
burung emprit meloncat-loncat di ranting pepohona,mano' keddhi' ca'-lonca'an è ranca'na ka'-bhungka'an
anaknya yang berumur satu ahun mulai belajar merangkak-rangkak.,ana'na sè aomor sataon molaè ajhâr ka'-rangka'an
rambutnya tumbuh jarang-jarang,obu'na tombu rang-rangang
saya jarang pulang ke Madura.,sèngko' rangrang molè ka Madhurâ
merajut untaian lagu-lagu Madura,ngajum rareppèn Madhurâ
mempersembahkan lagu-lagu yang bagus dan menyenangkan untuk didengarka,mâkta sowara rareppèn sè aghur tor marem pèrengnganna
perasaanku sungguh sedih,tang prasaan seḍḍhi ongghu
dirasa-rasakan kok tidak selesai-selesai,èsarassaaghi ma' ta' kaghik marè
rasanya belum pulang.,rassana ghi' ta' molè
silsilah keturunan raja Bangkalan,ron-tomoronna rato Bhângkalan
di alun-alun ratusan orang berkumpul menonton karapan sapi.,è lonalon ratosân orèng paḍâ akompol nèngghu kerrabhân sapè
tahu-tahu apinya menyala berkobar-kobar,mo-temmona apoyya rebbhâng
"besok hari Rabu, sekolah libur.",lagghu' arè rebbhu sakolaan prèi
perawan cantik itu menjadi rebutan perjaka di desanya,parabân raddhin rowa dhâddhi rebbhu'ân lancèng ngoḍâ è dhisana
ribet dengan anaknya,rèbet bân ana'
ribet mernakai kain panjang.,rèbet sè ngangghuy sampèr
menggigit daging dengan sekuat tenaga karena sangat keras atau tidak mudah digigit.,ngèkkè' dhâghing sambi cenpreccennan polana ghâli otabâ ta' powa
anak itu sangat ramah.,"kana, rowa cè' rècèna"
gemar dalam mengerjakan sesuatu.,regghep sè akon-lakon
anggap saja sudah selesai,rèken la marè
saya dianggap bukan saudaranya,sèngko' èrèken bânnè tarètanna
berurai air mata karena sangat sedih.,beng-ngrembeng aèng mata amarghâ cè' seḍḍhina
anaknya sudah lahir,ana'na ella rèmbi'
lahir pada saat hari besar.,rèmbi'è arè rajâ
langitnya mendung karena akan turun huja,langngè'na ngarenḍeng amarghâ para' ojhânna
jika berbicara jangan saling merajuk.,mon acacajhâ' arendhiân
"biasanya kalau malam telah tiba banyak nyamuk mengerubung, lebih-lebih jika selokannya tidak terawat dengan baik","biyasana mon ella malem rengngè' ngarobung, bi-lebbhi mon lèkèna ta' karabât"
"dikatakan kepada orang yang tidak tahu diri, merasa mempunyai kemampuan yang besar serta sangat diperlukan oleh banyak orang.","rengngè' ngalèng ajâgâ kaju "
dirinya dalam keadaan tidak sejuk hati karena baru saja bangun tidur.,bâ' dhibi'na ghi' ta' renna amarghâ ghi' bhuru jhâghâ tèḍung
makanan ini sangat renyah.,kakanan rèya cè' rennyana
meniup api di tungku,nyarèpo apoy è tomang
meniup api menggunakan seropong.,nyarèpo apoy ngangghuy sropong
mohon maaf bilamana saya merepotkan anda,saporana manabi kaulâ ampon ngarèpodhi sampèyan
kalau ini bukan kepunyaanku,mon rèya bânnè tang anḍi
sandal ini milik siapa?,sanḍal rèya anḍi'na sapa?
ini saya berada disini.,"rèya, sèngko' bâgâ è kanna'"
ini daging buat sate.,rèya dhâghing ghâbây saté
bungamelati berbau harum,kembhâng malatè abâu ro'om
"setiap malam hati tidak menentu, terbayang akan waj ahmu.","sabbhân malem atè ta' nanto, èkabâjâng robâna dhika"
jika berjualan jangan sampai rugi,mon ajhuwâlân jhâ' sampè' rogi
"rugi sedikit tidak mengapa, karena saya butuh uang","rogi ḍhiḍḍhi' ta' apa-rapa, amarghâ sèngko' parlo pèssè"
ada yang untung ada yang rugi,bâḍâ sè ontong bâḍâ sè rogi
sembahyang maghrib tiga rakaat.,abhâjâng mahrib tello' rokaat
rokok yang dibungkus dengan kulit jagung yang tipis,roko' kolè'na jhâghung
"jika merokok tentunya kebul-kebulan, sudah lumrah kata orang di Madura, ikut saya tentunya jangan ngambek, terlanjur cinta akan menjadi seperti tingkah burung merpati.","mon aroko' tantona bhul-kebbhulân, ca'na orèng kappra è Madhurâ, noro' sèngko' tantona jhâ' ngambhulân, kaḍung tarèsna mara mano' dhârâ "
pamanku tinggal di desa yang jauh dari kota,tang ghuttè aroma è dhisa sè jhâu ḍâri roma
rasa hati yang kegiranga,romasana atè sè kapèraghân
merawat tanaman di belakang rumah,ngeromat tamennan è buḍina roma
membuang kotoran ke empat pembuangan sampah,mowang bu-rombu ḍâ' sarpaan
tempat disini sangat kotor karena tidak pernah disapu,kennengngan è ḍiyâ cè' rombuna polana ta' toman èsapoè
perihal yang sepele dibesar-besarkan sehingga menjadi kendala besar dan sulit.,"tè'-lettè' ngèrèt ronjhângan "
"ayam serempak berkokok, bunyinya sangat nyaring.","ajâm saroju' paḍâ akronno', monyèna sanget lantè"
rambutnya sampai luruh karena sakit panas yang sangat parah,obu'na dhâghâ ronto amarghâ sakè' panas cè' sarana
buah kelampok banyak berjatuhan terkena hujan deras tadi malam.,buwâ klampok bânnya' sè ronto èkennèng ojhân dherres malemma
tikus sering merusak tanaman padi,tèkos segghut ngarosak tamennan paḍi
banyak rumah yang rusak akibat gempa,bânnya' roma sè rosak èkennèng lènḍhu
di desa banyak jalan yang rusak,è dhisa jhâlânna sak-rosak
barang yang sudah rusak dibuang.,bhârâng sè ella rosak buwâng bhâi
surat ini sangat dirahasiaka,sorat rèya cè' rosèyana
"perempuan itu genit, jika berbicara tidak senonoh.","orèng binè' rowa lètèr, mon acaca r6s6"
tulang rusuknya patah akibat terjatuh bermain sepak bola.,tolang roso'na potong amarghâ labu amaèn tembhung
orang kaya itu sangat royal,orèng soghi rowa cè' royalla
dikatakan kepada orang yang kaku dalam bergaul karena tidak tahu sopan santu,"akanṭa sa' ar gherrâna "
harta yang menjadi rebutan antara ahli warisnya.,"sabâna dhâddhi gheḍhâng "
"membuat seuatu kejahatan, bisa-bisa dirinya terkena akibatnya.","nyabâ' songghâ terjhâk dhibi' "
belum selesai sebab orangnya masih banyak pekerjaa,"ghi' ta' marè èlakonè, sabâk orèngnga ghi' bânnya' lakona"
rumah yang tidak ditempati itu banyak sawang-sawangnya.,roma sè ta' èkennengngè rowa bânnya' bângsabângnga
"setiap memandangmu, aku tidak akan lupa lesung pipitmu.","sabbhân mandheng dhika, bulâ ta' kèra loppa amarghâ pacek è pèpèna"
"dulu ketika saya masih kecil sering bermain-main di tepi sungai, suatu ketika perahu terhanyut","sabbhânna bâkto sèngko' ghi' kènè' dhujân èn-maènan è pèngghir songay, sèttong bâkto toman talanyo'"
bersabarlah! semoga Yang Maha Kuasa memberikan kelapangan dada.,bi' sabbhâr! malar moghâ Sè Kobâsa aparèng kajhembhârân atè
hati-hatilah kalau menyeberangi jalan,bi' ngastètè manabi nyabbhrâng jhâlân
rumahku diseberang jala,tang roma èsabbhrâng jhâlân
jam sebelas malam,pokol sabellâs malem
membaca Al-Fatiha sebelas kali,mâca fatèba sabellâs kalè
membeli durian sebelas buah.,mellè dhurin sabellâs mègghi'
sebelum diminta segera kembalika,sabellun èpènta. dhuli pabâli
"dulu pada jaman penjajahan, murid-murid sekolah jika menulis tidak menggunakan buku tapi menggunakan sabak.","sabbhân ghi' jhâman panjhâjbâân, rèdmorèd sakolaan mon nolès pangajhârân ta' ngangghuy buku, tapè ngangghuy sabhâk"
tali yang putus sudah disambung lagi.,talè sè pegghâ' marè ètabhung polè
ayah saya meninggal dunia pada umur enam puluh tahu,rama kaulâ sèdhâ omor sabidhâk taon
memang sudah menyediaka,lakar la asaḍiyâ
anda sangat patut jika mengenakan pakaian yang berwarna hitam.,cè' saèna manabi panjhennengngan ngaghem rasoghàn sè abâma celleng
perahunya mengitari lautan,paraona alajâr ngèdher saghârâ
tidak ada yang tahu isi hati seseorang.,"saghârâ kennèng jhâjhâghi, ngen-angenna orèng ta' kennèng terghâ "
anak-anak kecil itu sangat doyan makan sago,na' kana' kènè' rowa cè' dhujânna ngakan sagon
"mulanya menangis biasa, tapi semakin lama semakin menjadi tangisannya","molana nangès biyasa, tapè sajân abit sajân dhâddhi tangèssa"
anaknya semakin besar semakin nakal.,ana'na sajân rajâ sajân tambeng
sejak kecil sudah terlihat bakal menjadi orang yang pandai,sajjhegghâ kènè' la èkatèla' bhâkal dhâddhiâ orèng pènter
sejak hidup tidak pernah menyusahkan orang lai,sajj he gghâ ogi' ta' toman nyossaè orèng laèn
membeli semen lima belas sak.,mellè semmèn lèma bellâs sak
terima kasih yang sebesar-besarnya atas kehadiran anda sekalia,mator sakalangkong sè cè' rajâna atas rabu èpon panjhennengngan sadhâjâ
sakit gigi geraham,sakè' ghighi gherrem
sakit panas dingin,sakè' panas cellep
sakit sesak nafas,sakè' seksek nyabâ
sakit bengkak gusi,sakè' bârâ ghusè
sakit jerawat batu,sakè' jhen-âbâ' bâto
sakit perut yang kembung dan mengeras,sakè' bântet tabu'
sakit pada bawah perut yang mengeras,sakè' bântet bu-rabuân
saking karena sangat sakit sampai berteriak-teriak,sakèng ḍâri sakè'na dhâghâ arat-iarat
saking bingungnya sampai tidak menyapa kepada temannya yang lewat,sakèng bhingongnga dhâghâ ta' nyapa ḍâ' kancana sè lèbât
anaknya yang berumur enam tahun disekolahkan di sekolah yang dekat dengan rumahnya.,"ana'na sè aomor mennem taon, èpasakola è sakolaan sè semma' bi' romana"
lombok ini meski kecil tapi sangat pedas.,cabbhi rèya sala kènè' tapè cè' peḍḍhissâ
jangan-jangan menjadi angan-angan pikiran,la-sala dhâddhi bângenna pèkkèran
bau wangi bersebar kemana-mana.,bâu ro'om asalambherrân
datang dari jauh dengan keadaan selamat,ḍâteng ḍâri j hâu ka labân salamet
shalat lima waktu,salat lèmang bâkto
anjing yang galak itu menerkam betis orang yang lewat.,bhurus sè ghirâs rowa nyalbhâk bettèssâ orèng sè lèbât
pengemis itu berpakaian sobek-sobek.,orèng emmès rowa akalambhiân bing-salbing
apa yang dikerjakan tidak beres,sè èlakonè asalabudhân
orang yang menonton kamaval kocar-kacir karena kuda yang menarik dokar terlepas dari talinya.,orèng sè nèngghu kamafal asalabudhân amarghâ jhârân sè narèk ḍokar taocol ḍâri talèna
tidak pintar namun cerdik.,"bânnè pènter salènter "
benang layangan ini jangan sampai dikusutka,bola' lajângan rèya jhâ' sampè' pasalèngka'
borok yang tidak kunjung sembuh-sembuh cepat di olesi salep.,poro sè ta' râs-bârâs dhuli salebbhi
angin sepoi-sepoi terasa masuk perlahan-lahan ke tubuh.,angèn ngalesser nyalepsep ka bhâdhân
angin sepoi-sepoi terasa masuk perlahan-lahan ke tubuh.,angèn ngalesser nyalessep ka bhâdhân
perempuan itu sering menyela pembicaraan orang.,orèng binè' rowa dhujânnyalko'an caca na orèng
sekarang sudah selesai.,samangkèn ampon lastarè
dari dulu dirimu menyembunyikan kata hatimu,kabit lambâ' dhika nyamaraghi cacana atèna
memakai sarung terseret-seret.,ngangghuy sarong abâr-sambâr
paman dan bibi menjenguk kemenakannya yang dirawat di rumah sakit.,ghuttè so bhibbhi' nyambhângè penakanna sè èrabât è roma sakè'
jika dipanggil ibunya cepat menyahut supaya tidak dimarahi.,mon èolok èbhuna dhuli nyambhit ma' lè ta' èghighiri
tali yang putus itu selesai disambung.,talè sè pegghâ' rowa marè èsambhung
memangnya diberikan pada siapa?.,sambinna èbâghi ḍâ' sapa?
ayam yang makan padi di halaman dilempar dengan sapu.,ajâm sè nyocco' paḍi è tanèyan èsampat bi' posapo
membaca kitab hingga selesai,mâca kètab sampè' marè
menyewa tanah hingga tahun depan,nyèwa tana sampè' taon ḍateng
makan urap sampai kekenyanga,ngakan raporap sampè' kakennyangan
terlalu lama menjadi calon pegawai,"sampèr fajhu èsampayan "
mandi berkeramas menggunakan sampo.,manḍi atolo ngangghuy sampo
jika ada perlu baru meminjam,san bâḍâ parlona bhuru pas ngènjhâm
jika sudah pulang baru diperbincangkan,san la molè bhuru èrasanè
jika sudah selesai bekerja cepat berikan upahnya.,san la marè alako dhuli bâghi opana
walaupun segala pengharapan namun dirimu tetap ada di hatiku.,"sanajjhân sakabbhina pangarebbhân tor jhânjhi pon la sèrna salanjhângnga, lamon dhika pagghun bâḍâ è atè bulâ"
bersandar ke tembok,asanḍâr ka tèmbo'
jika dipangil ibunya cepat datang,mon èolok èbu'na dhuli nyandher
mengerjakan sesuatu yang berbahaya dan mendapati kecelakaan dan kesulita,"nyandher ka apoy "
mendampingi orang yang hampir mati,nyanḍhingè orèng sè para' matèa
rambut yang terbakar hangus berbau sangit,obu' sè taobbhâr sampè' angos abâu sangèt
nasinya berbau sangit karena hangus.,nasè'na abâu sangèt polana angos
kamu dikira pulang hari kemari,bâ'na èsangghu molè bâri'
menyangrai kopi kemudian ditumbuk sampai halus,nyangngar ghubhi lajhu ètoto sampè' alos
"tidak disangka akan bertemu dengamu, tercenung lalu saling tersenyum.","ta' èsangka sè tatemmoa so dhika, begeggennan lajhu pas paḍâ mèsem"
anak yang nakal itu sering merampas kepunyaan temannya.,kana' sè tambeng rowa dhujân nyangkraan anḍi'na kanana
benang layang-layang mengelantung ke pohon asam,bola'na lajângan nyanglar ḍâ' ka'-bhungkaan accem
jaringnya terkait ke batu karang,jhâringnga tasanglat ḍâ' bâta karang
duduk bersilang kaki.,toju' asanglè' soko
anaknya yang paling kecil merengek-rengek minta sangu yang lebih banyak.,ana'na sè palèng kènè' nyè'-ngarènyè' mènta sango sèjhung bânnya'an
enak dan menarik bunyi anak yang menabuh kendang.,sannyak monyèna kana' sè nabbhu ghenḍhâng
saya menemukan kulit ular yang sudah berganti kulit di lubang yang ada dibawah pepohona,sèngko' nemmo kolè'na olar sè asanolodhân è lobâng sè bâgâ è bâbâna ka' bhungkaan
sapi karapan kencang berlarinya.,sapè kerrabhân santa' pabunma
aliran air terjun sangat deras.,ghilina aèng tanca' cè' santerra
burung elang itu menyambar anak ayam yang berkumpul dengan induknya,mano' sèka' rowa nyaop pètè' sè apolong hi' korbhina
biasanya saya makan sahur jam tiga lebih sepermpat.,biyasana sèngko' asaor pokol tello' lèbât saparapat
siapapun boleh saja datang ke rumahku.,pasèraa bisaos ta' aponapa kèngèng rabu ka compo' kaulâ
orang yang bersembahyang di masjid bersaf-saf banyak.,orèng sè abhâjâng è sèghit rowa asa-sap bânnya'
siapa yang datang lebih awal?,sapa sè ḍâteng ghâlluân?
kamu anaknya siapa?,bâ'na ana'na sapa?
siapa yang mendapat untung?,sapa sè ollè ontong?
siapa saja harus hormat kepada orang tuanya,sapaa bhâi kodhu hormat ḍâ' orèng seppona
bila disapa temannya cepat menyahut agar tidak dikira sombong.,"mon èsapa kancana dhuli nyambhit, ma'lè ta' èsangghu anggâ'"
jam berapa anda datang?,pokol sapanapa sampèyan rabu?
berapa kilometer jauhnya?.,sapanapa kilomèter jhâuna?
selesai digembalakan sapinya cepat dimasukkan ke kandang,marè èowan sapèna dhuli èpamaso' ka kanḍhâng
"dilukiskan kepada suatu perceraian suami istri, sedangkan anaknya banyak.","akanṭa po-sapo pegghâ' sèmpayya "
mohon maaf yang sebesar-besarnya jika saya mempunyai salah penutura,nya'on sapora sè rajâ-rajâ èpon manabi kaulâ angghâḍhuân sala pètotoran
berterbangan terbawa kemana-mana.,nyapsap ḍâ' manḍimman
ayam yang mencucuk padi dilempar dengan sapu lalu terbang melesat ketakuta,ajâm sè nyocco' paḍi èsampat bi' po-sapo lajhu buru sap-nyapsap
"lukanya parah, cepat bawa ke rumah sakit.","lokana cè' sarana, dhuli kèbâ ḍâ' roma sakè'"
memperbaiki mesin ini sangat sulit.,mabeccè' messin rèya cè' sarana
permisi saya hendak pularig.,nyara kaulâ palèmanna
bila musim kemarau banyak tanah yang bedebu-debu.,mon mosèm nèmor bânnya' tana sè bu-nyarbu
barang yang seperti ini sulit untuk mencarinya,bhârâng tongghellâ rèya malarat rè-sarèna
mecari-cari kesalahan orang lain,rèn-yarè alana orèng laèn
"bila dicari tidak ketemu, bila tidak dicari diketemukan","mon èsarè ta' ètemmo, mon ta' èsarè ètemmo"
ayah membaca koran sambil tidur-tiduran,rama maos koran sambi rèn-sarènan
bermain dengan temannya.,amaèn sareng kancana
meniup api di tungku,nyarèpo apoy è tomang
nasi yang masih panas cepat ditiup agar ditigin dan bisa cepat dimaka,nasè' sè ghi' panas dhuli sarèpo ma'lè cellep pas bisa ceppet èkakan
menangkap burung pipit,nyarghep mano' keddhi'
jawabannya serupa dengan jawaban ayah.,jâwâbhânna sarobâ hi' jâwâbhânna rama
bila bekerja jangan sembaranga,mon kon-lakon jhâ' bân-sar'ombân
menyerobong api tungku agar tidak cepat mati.,nyaropong apoy tomang ma'lè ta' cep pet matè
menyeruput kopi yang panas.,nyaropot ghubhi sè panas
itu ombak bagaikan gerakan anak sapi.,rowa' ombâ' sasat ghulina jâgir
pakaian kotor yang menumpuk itu belum dicuci semua.,kalambhi kotor sè nombhuk rowa ghi' ta' èsassa kabbhi
"sate ayam sangat cnak, bumbunya kecijp dicampur kacang",satè ajâm cè' nyamanna lappana kècap ècampor kacang
